city,count
CA,213711
NY-NJ-PA,102278
TX,100533
FL,79090
"",52292
MI,49914
PA,47465
GA,43558
OH,40973
NC,38461
AZ,37148
IL-IN-WI,36116
PA-NJ-DE-MD,34267
DC-VA-MD-WV,32179
NY,25720
WA,24912
CO,23101
SC,22341
IN,20077
MA-NH,17376
WI,17336
LA,16571
MD,14936
MN-WI,14538
IL,13726
OK,13387
MO-KS,13285
IA,13233
MO-IL,13014
MO,12870
PA-NJ,12544
NV,11815
AL,11592
MS,10857
CT,10719
RI-MA,10523
VA-NC,9526
NJ,9278
NM,9216
ID,9196
TN,8729
OH-KY-IN,8724
KY-IN,8100
VA,7825
ND-MN,7781
NC-SC,7424
TN-MS-AR,7035
KS,6655
OR,6108
OR-WA,5854
MT,5784
AR-MO,5706
KY,5294
AR,5178
HI,5157
NH,4845
UT,4781
MA,4700
MA-CT,3730
SC-NC,3475
GA-SC,3357
NE,3007
MD-DE,2977
TN-GA,2828
IA-IL,2359
WV,2242
ME,2158
WI-MN,2103
VT,2048
IN-KY,1592
MN,1588
MD-WV,1361
IA-NE-SD,1314
TN-VA,1187
NE-IA,1030
WV-KY-OH,988
OH-PA,960
NH-VT,719
AK,590
IL-MO,517
WV-OH,504
UT-ID,457
TN-KY,424
DE,312
IN-MI,287
GA-AL,270
WY,251
SD,231
OR-ID,220
IA-IL-MO,201
ND,173
AR-OK,134
TX-AR,84
VA-WV,48
WV-VA,33
ID-WA,20
