city,count
CA,1969
TX,1340
NY-NJ-PA,1175
IL-IN-WI,492
FL,491
MI,482
"",475
NC,405
PA,341
OH,323
DC-VA-MD-WV,307
GA,297
WI,272
PA-NJ-DE-MD,259
NY,251
AZ,227
WA,165
OR-WA,165
IN,160
CT,152
CO,144
MO-IL,142
AL,133
ND-MN,131
MN-WI,129
NV,129
UT,128
OH-KY-IN,121
TN,112
MA-NH,111
MD,110
NC-SC,107
ID,102
SC,101
LA,99
MA,92
KS,84
OR,71
IL,68
AR-MO,65
NJ,57
VA,57
VA-NC,53
MS,47
NH,46
IA,43
NM,42
OK,41
MT,37
MO-KS,35
RI-MA,34
AR,32
MO,28
KY-IN,25
GA-SC,23
HI,22
PA-NJ,18
TN-MS-AR,18
TN-GA,16
MA-CT,14
WV,14
SC-NC,13
WI-MN,13
KY,12
ME,12
WY,10
TN-VA,10
MN,9
IN-KY,9
IL-MO,5
DE,5
IA-NE-SD,4
VT,4
MD-WV,3
VA-WV,3
TN-KY,2
NE,2
AK,2
NE-IA,1
WV-OH,1
UT-ID,1
SD,1
