city,count
CA,1884
NY-NJ-PA,1072
TX,1059
FL,763
OH,674
"",569
PA,485
IL-IN-WI,485
MI,358
NC-SC,352
GA,310
PA-NJ-DE-MD,284
CO,279
OK,278
MN-WI,268
WA,267
NC,265
NY,262
SC,254
WI,217
DC-VA-MD-WV,215
OH-KY-IN,197
AZ,187
MA-NH,184
MO-IL,182
ID,163
VA-NC,161
IN,152
NM,146
TN-MS-AR,133
LA,127
MO,120
CT,112
AR,109
MD,108
MA-CT,102
HI,102
MS,90
IL,87
KS,75
RI-MA,72
NJ,70
NH,70
TN,66
ME,59
KY,57
ND-MN,57
IA,52
PA-NJ,50
NV,47
OR-WA,46
GA-SC,41
IN-KY,38
MD-DE,35
MO-KS,35
AL,33
VA,29
MN,27
KY-IN,26
MT,23
OR,21
IA-IL,19
UT,18
OH-PA,15
WV-OH,14
DE,13
TN-GA,12
AR-MO,11
WV,9
SC-NC,8
NE,8
MA,7
WI-MN,7
IA-NE-SD,5
AK,5
AR-OK,4
SD,4
ID-WA,4
TN-KY,3
IL-MO,3
VT,2
MD-WV,2
WY,2
TN-VA,2
TX-AR,1
UT-ID,1
NE-IA,1
ND,1
