city,count
CA,2060
TX,878
FL,847
PA,668
NY-NJ-PA,665
OH,601
"",550
PA-NJ-DE-MD,542
MI,355
IA,320
AZ,298
WA,283
NY,277
NC,244
CO,237
IL,235
GA,235
MN-WI,229
DC-VA-MD-WV,226
ID,223
IL-IN-WI,209
MA-NH,162
TN,159
IN,151
MD,149
WI,145
NH,140
MO-IL,139
MS,136
NC-SC,109
KY-IN,108
VA-NC,105
OK,99
NJ,98
KS,94
MO-KS,88
LA,82
MD-DE,81
NM,80
WV,79
AR-MO,74
ME,73
RI-MA,71
VA,71
NE-IA,69
MO,69
KY,66
OH-KY-IN,51
ND-MN,41
UT,39
MA-CT,38
NV,38
AR,34
PA-NJ,31
CT,31
WI-MN,30
AL,28
OR,26
MT,25
HI,25
TN-GA,20
TN-MS-AR,20
SC-NC,17
SC,16
MA,16
WY,14
TN-VA,10
VT,9
OR-WA,8
IA-IL,8
AK,8
MN,7
OH-PA,7
WV-KY-OH,6
NH-VT,6
ND,4
WV-OH,4
IN-KY,4
UT-ID,3
IL-MO,3
IA-NE-SD,2
TN-KY,1
DE,1
NE,1
