city,count
CA,2125
TX,1168
NY-NJ-PA,979
PA,680
MI,616
"",509
FL,496
WA,485
GA,457
NC,331
IL-IN-WI,330
PA-NJ,300
OH,264
MD,260
DC-VA-MD-WV,250
MO,235
CO,228
PA-NJ-DE-MD,214
KS,198
AL,188
NV,183
AZ,177
MO-IL,173
NY,162
ID,159
OR-WA,157
IN,151
OH-KY-IN,146
IA,142
OR,129
NJ,127
MS,124
MN-WI,117
AR,117
SC,111
AR-MO,111
OK,111
MO-KS,105
KY,98
VA-NC,89
NH,87
CT,83
MA-NH,83
MD-WV,78
WI,70
LA,68
MA-CT,65
NC-SC,65
ND-MN,63
KY-IN,55
NM,52
IL,48
TN,46
UT-ID,24
MA,24
WV,23
HI,21
RI-MA,17
TN-MS-AR,17
MT,16
UT,16
TN-GA,15
ME,10
IN-KY,10
WV-OH,9
VA,8
VT,7
NE-IA,7
ID-WA,7
GA-AL,6
DE,6
TX-AR,6
AK,6
IA-IL,5
TN-VA,5
NE,5
MN,4
IL-MO,4
WY,4
TN-KY,4
OH-PA,3
SD,2
GA-SC,2
SC-NC,2
MD-DE,1
AR-OK,1
VA-WV,1
