city,count
CA,1780
TX,1204
NY-NJ-PA,1123
"",533
WA,531
FL,442
PA,364
GA,355
AZ,336
NY,334
DC-VA-MD-WV,308
MI,299
OH,294
IL-IN-WI,269
PA-NJ-DE-MD,244
MA-CT,235
MA-NH,217
ID,197
CO,190
NM,183
IL,181
IN,175
NC,173
AR,173
MD,171
OK,152
TN,149
PA-NJ,147
ND-MN,145
IA,145
KY-IN,126
OH-KY-IN,126
WI,125
MO-IL,124
LA,116
VA,113
OR,112
MN-WI,109
KY,103
TN-GA,103
CT,93
MO-KS,87
SC-NC,73
SC,70
NV,67
TN-MS-AR,66
MS,58
OR-WA,57
KS,45
VA-NC,43
NC-SC,42
AL,41
RI-MA,40
NJ,38
MO,36
WV,30
HI,26
VT,23
WI-MN,22
MD-DE,19
MA,17
MT,12
IA-NE-SD,12
TN-KY,11
UT,11
IN-KY,8
MN,7
MD-WV,7
NH,7
AR-MO,7
IA-IL,7
OH-PA,6
NE,5
DE,5
AK,5
NH-VT,5
NE-IA,4
GA-SC,4
ME,2
TN-VA,2
WV-OH,1
