city,count
CA,1032
TX,807
NY-NJ-PA,636
MI,330
FL,305
"",265
GA,248
WA,247
PA,228
MO-KS,213
OH,204
NY,203
MA-NH,203
NC,198
SC,193
IN,177
LA,151
IL,149
AL,144
AZ,143
NJ,139
DC-VA-MD-WV,135
IL-IN-WI,124
PA-NJ,121
OR-WA,97
CO,92
RI-MA,88
MD,87
IA,82
MN-WI,73
MS,67
WI,59
PA-NJ-DE-MD,58
KY,49
MT,49
ID,44
AR-MO,42
MO-IL,39
AR,34
CT,32
NE-IA,30
MO,27
TN-MS-AR,27
KS,24
VA,23
MD-DE,21
TN,21
NV,18
MN,16
OH-KY-IN,15
AK,14
OK,13
TN-GA,12
ND-MN,11
NM,11
IN-KY,11
HI,10
OR,9
VT,9
WV,7
VA-NC,7
SC-NC,6
IA-NE-SD,6
UT,6
GA-SC,5
TN-KY,4
NH,4
ME,4
KY-IN,4
NC-SC,4
UT-ID,3
MD-WV,3
AR-OK,3
OH-PA,3
WI-MN,2
NE,2
SD,2
MA,2
MA-CT,2
OR-ID,1
WY,1
VA-WV,1
WV-OH,1
