city,count
CA,1304
NY-NJ-PA,515
TX,343
PA,316
OH,313
NC,278
IN,272
"",271
MI,268
WA,263
MD,255
FL,202
SC,200
MA-NH,177
MS,171
NY,150
GA,130
PA-NJ-DE-MD,121
AL,110
ND-MN,99
IA,95
GA-SC,94
IL-IN-WI,93
DC-VA-MD-WV,88
VA-NC,87
WI,79
NC-SC,75
LA,71
OR,67
ID,66
KY,63
OK,63
MD-WV,60
MN-WI,58
CO,51
MO-KS,48
VA,46
MA-CT,45
SC-NC,42
OH-KY-IN,41
PA-NJ,37
MO,37
NJ,36
CT,32
MO-IL,32
AZ,28
IL,27
MD-DE,26
KY-IN,24
AR,24
TN,23
NV,21
KS,20
MT,19
NM,18
IA-IL,12
NH,11
RI-MA,10
NE,10
OR-WA,10
UT,10
OH-PA,9
TN-GA,8
WI-MN,7
MA,7
MN,6
TN-MS-AR,6
ND,6
IA-NE-SD,5
AR-MO,5
WV-OH,5
ME,4
DE,3
SD,3
AK,3
IL-MO,2
NE-IA,2
HI,2
WV,1
TN-KY,1
