city,count
CA,2392
NY-NJ-PA,942
TX,879
PA,630
FL,555
MI,533
"",512
NC,442
CO,417
DC-VA-MD-WV,391
WA,301
MO-IL,288
OH,287
MO-KS,287
MA-NH,278
IL-IN-WI,265
GA,245
MO,233
NY,221
WI,212
PA-NJ-DE-MD,211
AZ,175
PA-NJ,172
MD,158
IN,147
ID,141
KS,138
SC,133
TN,120
KY,109
WV-KY-OH,107
NJ,106
MN-WI,105
AL,89
ND-MN,87
LA,86
RI-MA,86
OR,70
VT,67
OK,67
OH-KY-IN,63
OR-WA,62
VA,60
IA,60
CT,56
NM,55
WI-MN,54
MS,46
HI,43
VA-NC,42
NC-SC,40
IL,38
ME,38
AR-MO,37
MA-CT,24
KY-IN,23
NV,22
IN-KY,22
MT,18
NE,17
TN-MS-AR,16
UT,16
WV,15
IA-NE-SD,14
TN-GA,14
IA-IL,11
MA,10
OH-PA,10
AR,8
TN-KY,5
DE,5
NH,4
NE-IA,3
TN-VA,3
WV-OH,3
SC-NC,3
MD-WV,2
WY,2
IN-MI,1
MD-DE,1
AR-OK,1
VA-WV,1
AK,1
