city,count
CA,2027
TX,1400
NY-NJ-PA,1058
FL,682
MI,670
"",570
WA,560
OH,516
PA-NJ-DE-MD,490
PA,471
IL,365
NY,361
NC,358
MA-NH,344
IN,298
MO,281
OK,267
DC-VA-MD-WV,250
IA,246
KY-IN,238
GA,229
SC,197
MD,190
NJ,189
IL-IN-WI,183
PA-NJ,161
AL,157
AZ,147
NM,143
MN-WI,128
NV,123
CO,123
OH-KY-IN,122
MD-DE,121
MO-IL,115
WI,111
MS,105
NC-SC,94
VA-NC,92
ID,91
AR,80
MA-CT,70
NH,67
LA,64
ND-MN,64
AR-MO,53
TN,51
MO-KS,47
MD-WV,45
CT,45
RI-MA,43
WI-MN,32
TN-MS-AR,30
UT,30
HI,27
MN,24
OR,22
KY,22
KS,19
MT,16
VA,14
WV-OH,13
MA,12
TN-KY,9
IA-NE-SD,9
OR-WA,9
ME,8
TN-GA,8
OH-PA,8
WV,8
TN-VA,7
GA-SC,6
NH-VT,4
NE,3
VA-WV,3
AK,3
SC-NC,2
NE-IA,2
DE,2
WV-KY-OH,2
UT-ID,2
WY,2
SD,2
IA-IL-MO,1
ND,1
