city,count
CA,1925
NY-NJ-PA,1133
TX,988
FL,672
OH,546
"",495
MI,481
PA,449
GA,410
IL-IN-WI,387
NC,364
PA-NJ-DE-MD,364
CO,292
WA,278
SC,275
IN,246
NY,236
RI-MA,228
VA-NC,170
AZ,169
NC-SC,167
DC-VA-MD-WV,159
KY-IN,153
MA-NH,150
WV,146
MN-WI,143
WI,135
AR,131
TN-MS-AR,126
ID,117
NM,115
MO-KS,113
OK,112
OR-WA,107
MS,105
IA,96
IL,89
PA-NJ,88
VA,87
ND-MN,81
OH-KY-IN,80
LA,76
MO,74
NH,70
AL,70
MO-IL,66
CT,64
SC-NC,62
TN,55
OR,51
MD,46
KS,46
TN-GA,39
NV,38
KY,30
MD-WV,28
MA,27
NJ,25
GA-SC,25
ME,23
UT,18
MT,15
AR-MO,12
AK,11
IN-KY,10
HI,10
WV-OH,8
DE,7
IA-IL-MO,7
OH-PA,7
TN-KY,6
IA-NE-SD,6
MA-CT,6
WY,5
MD-DE,5
WI-MN,4
UT-ID,3
TN-VA,3
MN,3
IA-IL,2
AR-OK,1
NE-IA,1
