city,count
CA,2253
TX,1020
FL,976
NY-NJ-PA,915
PA,702
GA,623
"",563
MI,478
WA,464
PA-NJ-DE-MD,456
OH,437
DC-VA-MD-WV,347
NC,310
SC,284
IL-IN-WI,275
WI,274
IN,259
OR-WA,202
AZ,198
CO,180
MA-NH,173
VA-NC,157
NY,141
OK,141
MD,140
ID,138
ND-MN,138
AL,137
KS,133
LA,129
MO-IL,129
IA,125
NM,121
AR,103
PA-NJ,85
IL,85
OH-KY-IN,84
MS,82
GA-SC,82
WV-KY-OH,81
NC-SC,76
MO,75
RI-MA,71
CT,63
NJ,60
KY,56
WV,51
TN,48
HI,45
IN-KY,40
MO-KS,39
MN-WI,38
MA,38
VT,32
UT,32
TN-MS-AR,30
NV,29
TN-KY,21
KY-IN,20
AR-MO,19
MT,16
VA,15
WV-OH,13
OR,12
ME,12
IA-IL,11
AK,10
NH,8
TN-GA,7
NH-VT,7
MN,6
SC-NC,6
NE-IA,6
NE,5
DE,5
MD-WV,3
MA-CT,3
UT-ID,2
IA-NE-SD,2
OH-PA,2
OR-ID,1
SD,1
IL-MO,1
TN-VA,1
