city,count
CA,2651
NY-NJ-PA,1313
TX,1175
MI,778
FL,721
"",592
PA,555
WA,549
GA,531
DC-VA-MD-WV,462
PA-NJ-DE-MD,362
OH,357
NC,356
SC,270
MO-IL,258
AZ,248
CO,228
WI,224
LA,216
IN,210
OH-KY-IN,209
MD,201
ID,198
OK,197
MO,189
KY-IN,178
MA-CT,171
MA-NH,170
PA-NJ,157
NJ,154
MS,150
IL-IN-WI,148
MN-WI,141
IA,136
NY,130
UT,109
IL,108
KS,103
CT,98
AR-MO,98
ND-MN,93
AR,88
MT,84
TN-MS-AR,78
RI-MA,77
AL,76
WV,71
VA-NC,65
NC-SC,55
NV,51
KY,49
TN-GA,46
MO-KS,46
MD-DE,43
HI,35
GA-AL,31
NM,31
TN,30
OR-WA,29
IA-IL,28
OR,24
VA,17
MA,13
IN-KY,12
WV-OH,10
MN,9
DE,8
SC-NC,7
GA-SC,7
OR-ID,6
VT,6
NE-IA,6
AK,5
UT-ID,5
TN-VA,4
NH,3
NE,3
ME,3
SD,2
OH-PA,2
NH-VT,2
MD-WV,2
IA-NE-SD,2
TN-KY,1
IL-MO,1
WI-MN,1
AR-OK,1
