city,count
CA,1078
TX,582
FL,504
NY-NJ-PA,409
GA,392
NC,330
"",283
SC,277
IL-IN-WI,252
ID,242
DC-VA-MD-WV,217
MI,212
CO,193
PA,178
WA,176
IN,151
WI,142
KS,109
AZ,104
MO-KS,90
MA,85
AL,84
LA,80
PA-NJ-DE-MD,79
OH-KY-IN,76
TN,73
RI-MA,72
OH,71
NM,71
KY-IN,69
PA-NJ,67
MA-NH,66
MO,59
TN-GA,50
OK,49
MD-WV,47
IA,42
VT,41
CT,39
NJ,35
NE,33
ND-MN,32
IL,29
NY,29
MS,24
MN-WI,23
TN-MS-AR,23
VA-NC,22
OR-WA,21
NC-SC,21
HI,20
KY,18
OR,16
NV,16
AR-MO,14
WV-OH,12
VA,10
MD,9
MD-DE,9
MO-IL,9
UT-ID,7
IA-NE-SD,7
SD,7
WV,7
IA-IL,7
SC-NC,6
WI-MN,6
TN-VA,6
MT,5
ME,5
AR,5
UT,5
NH-VT,5
ND,4
MN,3
AR-OK,3
GA-AL,2
TN-KY,2
NH,2
GA-SC,2
ID-WA,1
OH-PA,1
OR-ID,1
WY,1
