city,count
CA,1103
TX,786
FL,667
NY-NJ-PA,645
NC,344
MI,323
PA,308
GA,301
PA-NJ-DE-MD,292
"",285
AZ,253
IL-IN-WI,204
MO,153
IA,152
MD,144
RI-MA,137
DC-VA-MD-WV,136
SC,131
CO,130
IN,112
ID,111
WA,110
WI,106
OH,106
VA,99
NH,95
KS,90
NJ,89
ND-MN,89
KY-IN,84
MO-IL,76
TN-MS-AR,67
MA-NH,63
NY,60
LA,58
UT,57
NM,56
NC-SC,52
PA-NJ,48
IL,47
MA,45
CT,44
HI,43
WV-KY-OH,39
OH-KY-IN,33
OK,30
MN-WI,28
MS,27
NV,24
TN,18
MA-CT,17
OR,16
MO-KS,16
AR-MO,15
AL,12
AR,11
ME,10
KY,9
VA-NC,9
SC-NC,7
IA-IL,7
MT,6
SD,6
VT,5
WV-OH,5
OR-WA,5
OH-PA,4
MD-WV,3
GA-SC,3
WY,2
NE-IA,2
IA-NE-SD,2
MD-DE,2
IN-KY,2
TN-GA,2
ND,1
