city,count
CA,2263
NY-NJ-PA,981
GA,912
MI,796
PA,699
FL,671
OH,625
TX,575
"",544
IL-IN-WI,515
PA-NJ-DE-MD,484
WA,418
NC,397
SC,350
NY,337
IN,305
MA-NH,211
GA-SC,201
NJ,200
KS,183
DC-VA-MD-WV,182
AZ,177
IL,171
PA-NJ,164
LA,158
OH-KY-IN,143
WI,139
IA,127
MO-KS,126
NM,124
NV,122
KY,117
MO,116
NH,114
CT,108
CO,98
MN-WI,90
MO-IL,85
OK,84
OR,83
MS,73
AL,72
VA,67
MD,66
UT,66
MA,56
ND-MN,54
KY-IN,51
AR-MO,47
AR,46
TN,44
ID,40
TN-GA,36
SC-NC,35
MT,35
RI-MA,33
TN-MS-AR,25
VA-NC,22
OR-WA,20
HI,18
NC-SC,17
WV,16
DE,12
MD-DE,11
MA-CT,9
ME,9
VT,8
IA-IL,8
OH-PA,8
NE-IA,7
SD,7
IA-IL-MO,5
AR-OK,4
WY,3
NE,3
VA-WV,3
IN-KY,3
MN,2
WV-KY-OH,2
AK,2
NH-VT,2
IA-NE-SD,2
TN-VA,2
WV-OH,2
UT-ID,1
OR-ID,1
ND,1
TN-KY,1
IN-MI,1
