city,count
CA,2423
TX,848
FL,812
NY-NJ-PA,755
"",523
DC-VA-MD-WV,497
WA,448
GA,448
NY,446
PA,428
CO,410
PA-NJ-DE-MD,395
AZ,371
OH,362
SC,359
MI,337
IA,319
NC,312
IL-IN-WI,306
MA-NH,228
IN,208
ID,207
OK,200
WI,181
PA-NJ,178
NH,176
LA,168
AR,160
IL,154
AL,149
TN-MS-AR,145
MO,139
ND-MN,138
VT,115
KY,113
MD,107
GA-SC,98
VA-NC,97
NJ,86
OR,78
OH-KY-IN,76
MO-KS,75
NM,72
NV,71
CT,64
TN,63
KY-IN,62
MS,61
MO-IL,56
MN-WI,53
KS,52
NE,48
VA,46
TN-GA,42
WV,38
OR-WA,32
RI-MA,29
MA,28
ME,22
UT,21
NC-SC,19
AR-MO,16
MT,13
IL-MO,12
AK,11
HI,11
WV-OH,9
ND,8
MD-DE,8
OH-PA,6
MN,5
MA-CT,5
AR-OK,5
IN-KY,5
IA-IL,5
SC-NC,4
IN-MI,4
NE-IA,3
DE,3
IA-NE-SD,3
TN-VA,3
UT-ID,2
SD,2
