city,count
CA,2547
NY-NJ-PA,1159
TX,979
OH,644
PA,590
GA,547
"",520
PA-NJ-DE-MD,431
FL,422
NC,406
MI,396
WA,390
SC,355
DC-VA-MD-WV,326
IL-IN-WI,300
IL,291
AR,282
NY,246
IN,227
CO,218
MS,201
MA-NH,176
OK,169
TN-MS-AR,151
IA,149
PA-NJ,146
MO,146
MO-IL,135
ND-MN,134
MD,133
RI-MA,129
AL,124
KY-IN,121
ID,120
MA-CT,115
CT,115
VA-NC,115
AZ,104
TN,102
NM,99
OR,97
VT,87
LA,86
MN-WI,82
TN-GA,81
NC-SC,81
KS,75
VA,70
WI-MN,69
OR-WA,61
NV,59
SC-NC,57
OH-KY-IN,57
UT,50
WI,47
MD-DE,47
MT,40
NE-IA,38
NJ,37
MD-WV,36
MO-KS,32
WV-KY-OH,32
NH,31
OH-PA,27
WV,25
AR-MO,19
HI,19
KY,13
ME,13
TN-VA,11
NE,10
AK,10
OR-ID,7
WV-OH,6
IA-IL,4
MA,4
DE,3
MN,2
SD,2
VA-WV,2
UT-ID,1
TX-AR,1
