city,count
CA,2771
TX,1336
NY-NJ-PA,919
FL,748
PA,658
"",639
GA,581
NC,565
PA-NJ-DE-MD,549
OH,528
AZ,461
IL-IN-WI,440
MI,402
SC,392
MO,304
DC-VA-MD-WV,299
WA,275
MA-NH,243
OK,231
NY,215
MS,188
IN,183
IL,178
WI,169
TN,159
MD,150
TN-MS-AR,150
ID,145
MN-WI,140
KY,140
PA-NJ,130
NC-SC,130
KY-IN,123
KS,121
ND-MN,119
CT,116
MO-IL,111
AL,106
OR,98
NV,82
AR,82
TN-GA,68
NH,66
CO,57
NE,51
LA,50
WI-MN,46
VA-NC,45
OH-KY-IN,44
AR-MO,40
VA,34
NM,34
MO-KS,32
MA,30
IA,29
MT,28
UT,22
RI-MA,21
GA-SC,15
OR-WA,14
HI,13
NJ,12
MA-CT,10
IA-NE-SD,10
WV,10
TN-KY,9
VT,7
ME,6
TN-VA,6
MD-WV,5
IN-MI,5
NH-VT,5
UT-ID,4
IL-MO,4
SC-NC,3
SD,3
WV-OH,3
MD-DE,2
OH-PA,2
MN,2
DE,2
AK,1
AR-OK,1
