city,count
CA,2652
TX,1632
NY-NJ-PA,1118
FL,839
NC,737
"",577
AZ,483
GA,481
DC-VA-MD-WV,430
MI,413
PA,395
IL-IN-WI,372
OH,322
SC,299
MO-IL,272
NY,233
IN,222
MO,208
MS,204
WA,199
PA-NJ-DE-MD,190
CO,186
MA-NH,175
AL,171
NJ,145
VA,128
OK,121
MN-WI,119
ID,114
NC-SC,113
MD,110
IA,106
MA-CT,105
WI,105
LA,103
OH-KY-IN,95
IL,92
KY-IN,90
NV,84
MA,83
NH,82
KS,81
RI-MA,72
VA-NC,70
CT,57
MN,53
AR-MO,49
TN,47
AR,47
MD-DE,41
MO-KS,38
ME,35
OR,32
NM,32
PA-NJ,30
TN-MS-AR,27
ND-MN,26
KY,20
MT,17
IA-IL,17
OR-WA,15
UT,15
TN-VA,14
HI,12
UT-ID,12
GA-AL,11
NE,11
WY,8
SC-NC,7
TN-KY,6
VT,5
TN-GA,5
WV-OH,5
WV,4
NE-IA,3
AR-OK,3
WI-MN,3
AK,3
IN-KY,2
NH-VT,2
DE,1
IA-IL-MO,1
GA-SC,1
SD,1
