city,count
CA,1920
TX,734
NY-NJ-PA,491
GA,462
AZ,433
FL,376
"",338
NC,314
OH,309
PA,270
MI,239
PA-NJ-DE-MD,230
IN,218
WA,199
NY,181
OR-WA,162
SC,161
MA-NH,157
MO,156
DC-VA-MD-WV,154
IL-IN-WI,146
AL,143
CO,128
MS,121
NV,109
PA-NJ,102
WI,102
MD-WV,91
AR-MO,88
MA-CT,79
ND-MN,73
ID,66
HI,61
OK,56
TN-MS-AR,50
TN-GA,45
KY-IN,45
IA,43
MN-WI,37
OR,36
NE,34
IL,30
OH-KY-IN,30
LA,28
MA,28
MO-IL,27
NJ,21
MD,21
MO-KS,20
WV,18
SC-NC,17
VA,17
CT,17
NM,17
RI-MA,16
TN,15
UT,15
NC-SC,14
MT,13
KY,11
KS,10
AK,10
VA-NC,9
IA-NE-SD,8
ME,7
AR,7
IA-IL,7
NH,6
TN-VA,6
VT,5
GA-SC,4
WV-KY-OH,3
TN-KY,2
WY,2
IL-MO,2
WI-MN,1
NE-IA,1
