city,count
CA,1163
NY-NJ-PA,568
TX,548
MI,447
FL,397
PA,292
NC,278
"",270
OH,240
CO,235
AZ,221
PA-NJ-DE-MD,197
IN,189
MA-NH,183
GA,145
AL,144
IA,143
IL-IN-WI,141
NV,107
MD,88
MO,84
NY,79
WA,76
OK,73
SC,71
WI,65
TN,63
ND-MN,60
DC-VA-MD-WV,59
AR,46
MS,44
IL,43
TN-MS-AR,41
PA-NJ,40
VA-NC,40
KY-IN,39
OH-KY-IN,38
OR,34
NC-SC,31
MO-KS,30
ID,28
LA,26
KS,23
MN-WI,22
NM,22
CT,21
MT,19
RI-MA,17
MD-DE,17
TN-VA,17
MO-IL,15
KY,13
AR-MO,10
NJ,9
UT,9
WV-OH,9
VA,8
MA,8
HI,8
NE,7
AK,7
WV,5
OR-WA,5
UT-ID,4
IA-NE-SD,4
MA-CT,3
WY,3
ME,2
DE,1
WV-VA,1
IN-KY,1
IA-IL,1
OH-PA,1
TN-KY,1
OR-ID,1
NH,1
VT,1
