city,count
CA,2421
NY-NJ-PA,1328
TX,1029
GA,686
MI,633
"",586
NC,585
FL,572
IL-IN-WI,428
PA,402
PA-NJ-DE-MD,394
NY,327
OH,316
IL,310
CO,290
IN,288
DC-VA-MD-WV,284
MO-IL,263
PA-NJ,255
AZ,248
MA-NH,240
OK,221
WA,201
SC,199
WI,184
RI-MA,154
MA,152
MO-KS,151
AL,149
VA-NC,137
OH-KY-IN,130
MN-WI,122
OR,120
ND-MN,116
IA,111
KS,110
GA-SC,109
AR,87
KY,85
MD,75
IA-IL,70
MS,61
LA,58
VA,56
TN,55
NC-SC,48
CT,46
OR-WA,43
NH,41
MT,37
NM,36
MN,35
KY-IN,30
TN-MS-AR,30
NV,28
MO,24
ID,23
UT,20
HI,20
AR-MO,17
SC-NC,15
TN-GA,15
NE,13
OH-PA,13
GA-AL,10
ME,10
IA-NE-SD,9
WV-KY-OH,9
AK,8
NH-VT,8
MD-WV,7
TN-VA,7
MA-CT,6
NJ,6
ND,6
MD-DE,5
IN-KY,4
WV,4
IL-MO,3
WV-OH,3
TN-KY,2
WI-MN,2
IN-MI,2
SD,2
UT-ID,1
WY,1
