city,count
CA,2219
NY-NJ-PA,918
FL,776
TX,750
OH,561
"",550
MI,460
GA,436
IL-IN-WI,436
PA,347
PA-NJ-DE-MD,327
WI,312
NC,284
NY,267
WA,263
AZ,244
IN,224
MD,214
CO,160
OR,158
MA-NH,157
TN,156
MS,155
DC-VA-MD-WV,140
PA-NJ,138
MA,135
ID,130
NH,129
AR-MO,125
NV,123
MN-WI,113
SC-NC,108
SC,104
AL,102
OK,96
MO,94
TN-MS-AR,91
LA,88
VA-NC,85
MO-KS,73
CT,71
IL,70
AR,67
VA,66
MO-IL,66
TN-GA,63
RI-MA,56
OH-KY-IN,52
MD-DE,50
IA,50
KS,48
WI-MN,45
NM,42
OR-WA,36
NJ,30
OH-PA,27
UT,26
ND-MN,25
KY-IN,25
IA-IL,25
MT,22
HI,20
MA-CT,18
WV,18
NC-SC,16
KY,9
ND,9
NE,8
AK,7
VT,5
ME,3
ID-WA,3
MD-WV,2
NE-IA,2
WV-OH,2
TX-AR,1
TN-VA,1
WY,1
DE,1
SD,1
