city,count
CA,2939
TX,1210
NY-NJ-PA,1064
PA,906
FL,842
MI,652
"",591
GA,538
AZ,534
OH,475
PA-NJ-DE-MD,422
WI,406
IN,381
WA,341
PA-NJ,306
SC,278
IL-IN-WI,269
MA-NH,262
CO,232
NC,229
DC-VA-MD-WV,216
NV,199
OK,141
CT,139
ID,132
NC-SC,132
LA,117
NY,112
MO-KS,105
OR-WA,103
OH-KY-IN,98
MO,97
MS,93
MD,85
RI-MA,84
ND-MN,83
MN-WI,80
OR,67
VA,67
MA,66
KY,65
VA-NC,60
MA-CT,59
AL,59
AR,56
NM,50
AR-MO,49
VT,46
TN,46
MO-IL,46
NJ,45
TN-MS-AR,43
SC-NC,42
IN-KY,41
IA,39
KY-IN,34
WV-KY-OH,32
IL,31
KS,29
IA-IL,26
TN-GA,25
NH,21
MT,18
MN,14
ME,13
IA-NE-SD,10
UT,10
HI,9
DE,6
MD-DE,6
NE,5
AK,5
NH-VT,5
WY,4
NE-IA,4
UT-ID,3
WI-MN,3
WV,3
OH-PA,3
AR-OK,2
SD,2
TN-VA,2
TN-KY,1
OR-ID,1
MD-WV,1
IA-IL-MO,1
WV-OH,1
