city,count
CA,2082
TX,1153
OH,889
NY-NJ-PA,854
MI,782
FL,754
IL-IN-WI,604
"",576
NC,537
PA,404
SC,374
WA,310
AZ,300
MA-NH,294
PA-NJ-DE-MD,293
MO-KS,284
IA,272
NY,249
GA,221
DC-VA-MD-WV,211
IL,195
CO,183
OK,183
LA,180
PA-NJ,176
NC-SC,167
IN,159
AR,155
MS,146
WI,143
MN-WI,120
CT,115
MO-IL,112
NV,110
MT,104
MO,101
RI-MA,94
MA,93
AL,83
SC-NC,80
AR-MO,78
KY-IN,74
VA-NC,73
MD,69
ID,67
OR,65
KS,64
VT,61
NM,57
VA,54
KY,54
TN,49
NJ,48
OH-KY-IN,47
NE-IA,44
IA-IL,43
UT,37
HI,28
TN-MS-AR,25
NH,24
UT-ID,20
MA-CT,15
WV,14
MN,13
OR-WA,13
IA-NE-SD,11
TN-GA,11
ME,10
GA-SC,9
AK,9
MD-DE,8
IL-MO,6
IN-KY,6
WV-OH,5
TN-KY,4
WI-MN,4
NE,4
ID-WA,4
TN-VA,4
ND,3
OH-PA,3
WV-VA,2
TX-AR,2
WY,2
MD-WV,1
ND-MN,1
AR-OK,1
