city,count
CA,1520
TX,770
NY-NJ-PA,663
MI,472
FL,332
"",302
PA,292
SC,236
GA,230
IL-IN-WI,185
PA-NJ,170
AZ,160
NC,154
NH,153
DC-VA-MD-WV,143
OH,139
NY,122
NM,120
WI,117
MS,116
PA-NJ-DE-MD,109
MO-IL,108
IN,103
ID,97
WA,96
OH-KY-IN,96
MA-NH,87
OK,81
NC-SC,81
RI-MA,72
MO-KS,61
CO,58
MT,56
AL,54
KY-IN,54
KY,50
AR,50
NJ,48
MN-WI,42
VA-NC,41
TN,40
NV,38
VA,35
IA,35
IL,31
IN-KY,31
LA,29
VT,23
HI,17
MD,15
MO,12
MA,12
CT,10
OR,9
NE-IA,8
WV-KY-OH,8
OR-WA,8
UT,8
MD-WV,7
KS,7
WV-OH,7
WV,6
DE,6
TN-MS-AR,6
AR-MO,5
NE,4
TN-GA,4
WY,4
MN,3
SC-NC,3
MA-CT,3
AK,3
OH-PA,3
SD,2
TN-VA,2
ME,2
IA-IL,1
TX-AR,1
