city,count
CA,1946
NY-NJ-PA,771
TX,646
FL,642
"",351
AZ,327
GA,326
NC,242
IN,241
PA,229
OH,213
MI,202
NY,165
IL-IN-WI,158
MN-WI,153
IL,146
PA-NJ-DE-MD,146
WI,126
WA,121
AR-MO,120
AL,108
DC-VA-MD-WV,108
MO-IL,108
SC,104
OK,96
CO,95
LA,91
VT,91
PA-NJ,77
KY-IN,77
ID,71
ND-MN,71
MT,68
TN,60
MO,59
IA,51
OR-WA,50
RI-MA,48
MS,48
NV,47
NC-SC,46
AR,42
NH,38
CT,34
MD,32
VA-NC,32
KY,29
NM,29
KS,28
NE-IA,24
MA-NH,24
MO-KS,23
TN-MS-AR,19
OR,17
TN-GA,15
VA,14
OH-KY-IN,9
MN,8
IN-KY,7
SC-NC,6
HI,6
OR-ID,5
WY,5
WV,5
TN-VA,4
MA-CT,3
IL-MO,3
ME,3
NJ,2
UT,2
IA-IL,1
MA,1
OH-PA,1
