city,count
CA,2243
TX,1335
NY-NJ-PA,1223
FL,646
"",625
NC,498
AZ,458
OH,420
IL-IN-WI,370
MI,367
GA,366
PA-NJ-DE-MD,363
PA,316
SC,278
OK,271
WA,256
MA-NH,255
DC-VA-MD-WV,248
WI,246
NC-SC,229
NY,212
CO,197
VA,178
MO,173
MO-IL,155
MO-KS,154
IN,150
VA-NC,146
KY,140
OR-WA,140
ID,122
NM,118
PA-NJ,111
MD,106
TN-MS-AR,105
ND-MN,101
IA,97
IL,96
MA,95
IN-KY,94
NV,93
OR,90
AL,88
AR-MO,83
CT,80
NH,78
NE-IA,72
LA,71
MS,70
NJ,60
MN-WI,58
VT,41
AR,41
KS,38
RI-MA,36
OH-PA,33
UT,28
TN,26
OH-KY-IN,20
SC-NC,19
MD-DE,18
KY-IN,18
HI,16
TN-VA,13
DE,12
IA-IL,12
MA-CT,11
AK,11
MT,10
IA-NE-SD,10
ME,10
TN-GA,8
UT-ID,6
MN,6
WY,6
WV,6
WV-OH,6
TN-KY,5
IN-MI,4
WI-MN,3
OR-ID,2
TX-AR,2
VA-WV,2
SD,2
ND,1
IL-MO,1
MD-WV,1
NE,1
