city,count
CA,2999
NY-NJ-PA,1501
TX,1105
FL,956
GA,745
"",593
PA,520
MI,467
DC-VA-MD-WV,430
NC,381
IL-IN-WI,375
OH,367
PA-NJ-DE-MD,329
WA,319
IA,304
NY,304
MA-NH,246
ID,240
MS,234
WI,216
ND-MN,216
PA-NJ,205
OK,203
OR-WA,189
SC,181
MO-KS,172
AZ,168
NM,165
CO,165
MD,153
MT,143
IN,125
LA,123
TN-GA,120
OR,111
VA-NC,110
AL,104
MO-IL,90
TN-MS-AR,87
NC-SC,85
NV,77
TN,77
NH,76
IL,69
MO,67
RI-MA,61
MA,61
VA,60
KS,59
MN-WI,57
HI,56
MD-DE,51
AR-MO,50
MA-CT,47
OH-KY-IN,42
CT,41
KY-IN,41
WI-MN,40
AR,39
KY,33
GA-SC,31
UT,28
WV,23
ME,21
NE-IA,13
WY,10
IA-IL,10
AK,10
NE,9
MD-WV,8
MN,7
NJ,7
SD,7
SC-NC,6
IA-NE-SD,6
TN-VA,6
UT-ID,4
TN-KY,3
OR-ID,3
OH-PA,3
DE,2
AR-OK,1
WV-OH,1
VT,1
